sensorID,sensorAddress_name
ALBLW1,M0900:ブロワサーマル(1号機)
ALBLW2,M0920:ブロワインバータ(1号機)
ALBLW3,M0901:ブロアーサーマル1W(1号機)
ALBLW4,M0902:ブロアーサーマル2W(1号機)
ALBLW5,M0903:ブロアーサーマル3W(1号機)
ALBLW6,
ALBLW7,
ALBLW8,
ALBLW9,
ALBLWA,
ALBLWB,
ALBLWC,
ALBLWD,
ALBLWE,
ALBLWF,
ALBLWG,
ALBLWH,
ALBLWI,
ALBUR1,
ALBUR2,
ALBUR3,
ALCCL1,M0992:異常解除(1号機)
ALCVM1,M0950:コンベヤサーマル(1号機)
ALCVM2,M0952:コンベヤインバータ(1号機)
ALCVM3,
ALCVM4,
ALDOR1,M0326:扉開異常(1号機)
ALEMG1,M0955:非常停止(1号機)
ALEMG2,
ALEMG3,
ALEMG4,
ALGAS2,
ALHTR1,M0996:ヒータ過昇温異常(1号機)
ALHTR2,M0980:過昇用温調節器TH2-11(1号機)
ALHTR3,M0981:過昇用温調節器TH2-12(1号機)
ALHTR4,M0982:過昇用温調節器TH2-13(1号機)
ALHTR5,M0983:過昇用温調節器TH2-21(1号機)
ALHTR6,M0984:過昇用温調節器TH2-22(1号機)
ALHTR7,M0985:過昇用温調節器TH2-23(1号機)
ALHTR8,M0986:過昇用温調節器TH2-31(1号機)
ALHTR9,M0987:過昇用温調節器TH2-32(1号機)
ALHTRA,M0988:過昇用温調節器TH2-33(1号機)
ALHTRB,
ALHTRC,
ALHTRD,
ALHTRE,
ALHTRF,
ALHTRG,
ALHTRH,
ALHTRI,
ALHTRJ,
ALHTRK,
ALHTRL,
ALHTRM,
ALHTRN,
ALHTRO,
ALHTRP,
ALHTRQ,
ALPLC1,D8060:IO構成エラー(1号機)
ALPLC2,D8438:シリアル通信エラー2(1号機)
ALPLC3,D8061:PCハードエラー(1号機)
ALPLC4,D8062:PCPP通信エラー(1号機)
ALPLC5,D8063:シリアル通信エラー1(1号機)
ALPLC6,D8064:パラメータエラー(1号機)
ALPLC7,D8065:文法エラー(1号機)
ALPLC8,D8066:回路エラー(1号機)
ALPLC9,D8067:演算エラー(1号機)
ALPLCA,D8449:特殊ブロックエラー(1号機)
ALPLCB,D8489:特殊パラメータエラー(1号機)
ALPLCC,D8166:特殊ブロックエラー発生状況(1号機)
ALPLCD,
ALPLCE,
ALPLCF,
ALSTM1,
ALSTM2,
ALTMP1,
ALTMP2,
ALTMP3,
ALWAT1,
ALWAT2,
CNBOL1,
CNBOL2,
CNHTR1,
CNHTR2,
CNHTR3,
CNHTR4,
CNPWR1,
MVACT1,
MVACT2,
MVACT3,
MVACT4,
MVBOL1,
MVTMP1,
MVTMP2,
MVTMP3,
MVTMP4,
MVTMP5,
PVBOL1,
PVBOL2,
PVCRT1,
PVCRT2,
PVCRT3,
PVCRT4,
PVDOR1,
PVVLT1,
PVHTR1,
PVHTR2,
PVHTR3,
PVHTR4,
PVPWR1,M8000:パワーＯＮ(1号機)
PVPWR2,
PVTIM1,D6009:T加熱運転積算時間(s)(1号機)
PVTIM2,D6001:加熱運転積算時間(s)(1号機)
PVTIM3,D6002:加熱運転積算時間(m)(1号機)
PVTIM4,D6003:加熱運転積算時間(h)(1号機)
PVTIM5,D6004:加熱時間積算時間 回(1号機)
PVTIM6,
PVTIM7,
PVTIM8,
PVTIM9,
PVTMP1,D1121:1W実温度(1号機)
PVTMP2,D1122:2W実温度(1号機)
PVTMP3,D1123:3W実温度(1号機)
PVTMP4,
SVTMP1,M1200:1W設定温度(1号機)
SVTMP2,M1210:2W設定温度(1号機)
SVTMP3,M1220:3W設定温度(1号機)
SVTMP4,
SVTMP5,
SVTMP6,
SVTMP7,
